"id","kob_name","companyname","premiseaddress","licenseno","licensecategoryname","licenseactive","created_at","updated_at","_source"
"337393374","Airport_Seaport - Retailer","M/S PUBLIC MEDICAL AGENCY","BLOCK-B, ROOM NO-7, 1ST FOOR,LALGOLA MAHARAJA ROAD MARKET","12824011000206","State License","Active","2024-08-28T16:43:52.129892+02:00","2024-09-18T17:13:42.951976+02:00","fssai"
"2647677","Indian Railways - Club_Canteen","M/S MM PUBLICATION CANTEEN","CANTEEN, XI/626, PB NO 226, KOTTAYAM","11318005000071","State License","Active","2023-03-31T14:13:00.161354+02:00","2024-09-18T17:57:06.610539+02:00","fssai"
"257904919","Airport_Seaport - Distributor","V ENTERPRISES/ VEERENDRA KUMAR  S GROUND FLOOR 225/223/13/1/13/2/A1 SRI KRISHNA KRUPA MARALUBAGILU MAIN ROAD SHREENIKETHAN PUBLIC SCHOOL MARALABAGILU MARALABAGAL ROAD DEVANAHALLI BANGALORE RURAL","GROUND FLOOR 225/223/13/1/13/2/A1 SRI KRISHNA KRUPA MARALUBAGILU MAIN ROAD SHREENIKETHAN PUBLIC SCHOOL MARALABAGILU MARALBAGAL ROAD DEVANAHALLI BANGALORE RURAL","11224303000371","State License","Active","2024-06-26T19:13:14.734825+02:00","2024-09-18T17:28:07.393589+02:00","fssai"
"68821","Konkan Railway - Club_Canteen","PARK PUBLIC SCHOOL","VINAYAGA GARDENS,PERIYAPATTI,NAMAKKAL","12423014000211","State License","Active","2023-03-31T22:55:56.572203+02:00","2024-09-18T19:19:55.986674+02:00","fssai"
"666481","Food Services - Club_Canteen","CANTEEN EMERALD VALLEY PUBLIC SCHOOL","YERCAUD FOOT HILLS KONDAPPANAICKENPATTY SALEM-8","12418018002137","State License","Active","2023-03-27T04:23:23.938038+02:00","2024-09-18T16:13:15.140925+02:00","fssai"
"339220471","Central Govt Agencies - Wholesaler","M/S PUBLIC MEDICAL AGENCY","BLOCK-B, ROOM NO-7, 1ST FOOR,LALGOLA MAHARAJA ROAD MARKET","12824011000206","State License","Active","2024-08-28T17:40:46.849592+02:00","2024-09-18T18:24:28.2525+02:00","fssai"
"370034230","Manufacturer -  General Manufacturing","FRAZLEY FERNANDES / PUBLIC FAST FOOD BAKERY AND PASTRY (FOOD ITEMS)","H.NO.16/A CACNAMODDI CUNCOLIM","20624006000158","Registration","Active","2024-11-06T13:05:46.475039+01:00","2025-01-28T05:50:44.238034+01:00","fssai"
"116077","Konkan Railway - Food Vending Establishment","Daffodils Public School","Daffodils Public School, Lohia Talab","12718042000078","State License","Active","2023-03-31T18:57:03.667267+02:00","2024-09-18T19:36:35.969814+02:00","fssai"
"353683596","Food Services - Club_Canteen","THE HYDERABAD PUBLIC SCHOOL,BEGUMPET","1-11-87&88,SP ROAD,BEGUMPET","13624014000773","State License","Active","2024-09-11T15:46:32.889041+02:00","2024-09-18T16:14:19.99511+02:00","fssai"
"79200","Konkan Railway - Club_Canteen","SATYA PRAKASH PUBLIC SCHOOL","POLIPATHAR, JABALPUR","11421170000249","State License","Active","2023-03-31T22:55:14.735944+02:00","2024-09-18T19:19:50.48795+02:00","fssai"
"344439429","Food Services - Restaurants","M/S THE PUBLIC HOUSE CAFE & HOOKAH LOUNGE","G-4, GROUND FLOOR, ANGEL MEGA MALL, KAUSHAMBI GHAZIABAD","12724052000711","State License","Active","2024-09-04T16:31:40.878054+02:00","2024-09-18T16:04:54.420236+02:00","fssai"
"81364","Trade_Retail - Storage (Cold _ Refrigerated)","OASIS PUBLICITY","222, INDALGANJ, MOHIBULLAPUR, SITAPUR ROAD, LUCKNOW","12719066001015","State License","Active","2023-03-15T23:25:43.990622+01:00","2024-11-06T15:10:14.797461+01:00","fssai"
"130892","Konkan Railway - Club_Canteen","BISHNUPUR PUBLIC INSTITUTE OF ENGINEERING (POLY TECHNIC)","SIROMONIPUR,BISHNUPUR,BANKURA","12822029000030","State License","Active","2023-03-31T22:53:41.05328+02:00","2024-09-18T19:19:58.845589+02:00","fssai"
"139672","Konkan Railway - Club_Canteen","INDORE PUBLIC SCHOOL","AB ROAD HUKMAKHEDI RAJENDRA NAGAR,INDORE","11422850001005","State License","Active","2023-03-31T22:54:44.048146+02:00","2024-09-18T19:19:33.875448+02:00","fssai"
"177532","Central Govt Agencies - Retailer","SRISHTI - A PUBLIC CHARITABLE TRUST","Srishti Public Charitable Trust,Kurinji Cafe &Bakery outlet,Moolakkadai Junction,Munnar","11317006000082","State License","Active","2023-03-31T21:31:22.942347+02:00","2024-09-18T19:03:31.173647+02:00","fssai"
